regno,name,dept,hist_arrear,cgpa
100621,Colleen Clarke,ECE,Yes,7.31
100622,Scott Hudson,EEE,No,6.78
100623,Joy Anderson,CIVIL,Yes,8.51
100624,Daniel Booth PhD,CIVIL,Yes,6.36
100625,Kristin Garza,FT,Yes,5.56
100626,Jose Stephens,AD,Yes,6.88
100627,Jennifer Meyer,CIVIL,Yes,8.18
100628,Edward Smith,CIVIL,No,8.82
100629,Charles White,EEE,Yes,5.8
100630,Yvonne Mccoy,FT,Yes,8.1
100631,Michelle West,MECH,No,6.95
100632,Lisa Miranda,CIVIL,No,8.98
100633,Juan Carpenter,ECE,Yes,9.38
100634,Allen Hunter,AD,Yes,6.26
100635,Adam Glover,ECE,Yes,7.97
100636,Kimberly Martinez,CSE,No,5.34
100637,Carrie Woods,AD,Yes,9.93
100638,Dr. James Gonzales,CSE,No,7.78
100639,Lori Miller,CSE,Yes,6.9
100640,Christopher Williams,ECE,Yes,7.67
100641,Francisco Carroll,FT,No,9.51
100642,Jodi Ross,CIVIL,No,9.12
100643,Kenneth King,EEE,No,6.64
100644,Curtis Dudley,FT,Yes,9.43
100645,Mary Gomez,CIVIL,No,8.12
100646,Miguel Bailey,ECE,Yes,7.64
100647,Leslie Smith,EEE,No,9.62
100648,Meghan Fowler,AD,No,7.92
100649,Sandra Shields,CSE,Yes,9.64
100650,James Massey,FT,No,9.35
100651,Stephen Evans,ECE,Yes,9.93
100652,Michael Huang,FT,Yes,7.94
100653,Joseph Graham,ECE,Yes,9.33
100654,Jeffrey Martinez,MECH,No,6.7
100655,Heather Miller,FT,Yes,7.61
100656,Patricia Andrews,CSE,No,5.96
100657,Christina Olson,CIVIL,Yes,9.58
100658,Jonathan Ruiz,EEE,No,6.22
100659,Danielle Davis,AD,Yes,5.71
100660,Beth Fisher,AD,Yes,7.09
100661,Monica Santiago,AD,Yes,9.47
100662,Travis Kane,EEE,No,6.99
100663,Mitchell Daniel,MECH,No,7.89
100664,Tara Duncan,ECE,No,6.97
100665,Eric Aguilar,EEE,Yes,7.38
100666,Clinton Sanders,AD,Yes,5.38
100667,Michael Decker,FT,Yes,9.96
100668,Melissa Smith,ECE,Yes,7.47
100669,Natalie Miles MD,ECE,No,7.87
100670,Donna Clayton,EEE,Yes,9.37
100671,Jonathan Carr,MECH,Yes,9.1
100672,Kevin Freeman,CSE,Yes,9.88
100673,Amanda Bryan,CSE,Yes,6.42
100674,Joseph Meza,FT,No,9.38
100675,David Meyer,EEE,Yes,5.88
100676,John Martinez,ECE,Yes,8.51
100677,Shane Oconnor,CSE,Yes,8.8
100678,Amber Williams,AD,Yes,9.5
100679,Jordan Villa,CIVIL,No,9.02
100680,Natasha Dominguez,EEE,No,5.85
100681,Richard Johnson,AD,No,7.11
100682,Terry Allen,EEE,Yes,9.39
100683,Lindsay Hansen,CSE,No,5.14
100684,Daniel Johnson,CSE,No,7.38
100685,Angela Riddle,ECE,Yes,8.74
100686,Megan Pham,MECH,Yes,6.95
100687,Shane Edwards,EEE,Yes,9.79
100688,Marcus Simon,ECE,Yes,7.74
100689,Sarah Morales,EEE,Yes,5.58
100690,Randy Diaz,MECH,Yes,7.55
100691,Jeremy Webster,MECH,Yes,8.92
100692,Jessica Harrington,ECE,Yes,8.89
100693,Kyle Ramos,ECE,No,7.24
100694,Jennifer Powell,ECE,No,9.96
100695,Rachel Jordan,CSE,No,6.15
100696,Vincent Jackson,CSE,No,9.33
100697,Christopher Fisher,ECE,Yes,5.15
100698,Katelyn Mckee,FT,Yes,9.45
100699,Jacqueline Harrison,ECE,No,8.97
100700,Maria Miller,CSE,Yes,8.03
100701,Keith Boyer,ECE,No,6.4
100702,Sarah Welch MD,ECE,No,6.26
100703,Mario Fisher,FT,Yes,9.05
100704,John Ortega,ECE,No,5.25
100705,Mary Bradley,MECH,No,9.96
100706,Jose Moon,MECH,No,8.09
100707,April Vaughn MD,CIVIL,No,9.14
100708,Dominique Porter,AD,Yes,5.37
100709,Morgan Lopez MD,ECE,No,7.57
100710,Michael Ward,ECE,No,8.58
100711,Daniel Gibson,FT,Yes,8.97
100712,Debra Price,AD,No,6.46
100713,Linda Bentley,CIVIL,Yes,6.27
100714,Brittany Gonzalez,FT,Yes,9.32
100715,Gloria Williams,EEE,Yes,5.96
100716,Judy Bennett,AD,Yes,8.11
100717,Richard Wilson,CSE,No,7.44
100718,Christopher Walton,AD,Yes,6.01
100719,Jose Williams,CSE,Yes,5.66
100720,Paul Davis,CIVIL,No,5.82
100721,Virginia Parker,CIVIL,No,8.53
100722,John Wallace,CIVIL,No,8.21
100723,Stephanie Jackson,FT,No,6.93
100724,Rachael Nelson,ECE,Yes,5.56
100725,Adam Hayden,FT,No,8.47
100726,Dorothy Williams,CSE,Yes,9.66
100727,Jason Robinson,CSE,No,7.58
100728,Jeffrey Miller,AD,No,9.23
100729,Mason Ford,EEE,Yes,9.11
100730,Justin Young,ECE,Yes,5.23
100731,Jean Reed,MECH,No,6.75
100732,Miss Stacy Johnson MD,CSE,No,6.59
100733,Adam Murphy,CIVIL,No,6.98
100734,Jessica Brock,AD,Yes,9.98
100735,Erin Smith,FT,Yes,7.71
100736,Alex Holden,MECH,Yes,6.56
100737,Joanna Stevens,FT,Yes,7.34
100738,Arthur Campbell,ECE,No,7.65
100739,Valerie Lewis,FT,Yes,6.58
100740,Jason Davis,MECH,No,8.74
100741,Diana White,FT,No,7.86
100742,Catherine Evans,CIVIL,Yes,7.6
100743,Doris Davis,EEE,No,8.49
100744,Jennifer Cohen,EEE,Yes,5.46
100745,Bobby Snyder,ECE,No,6.07
100746,Yvonne Duncan,ECE,No,8.23
100747,Adam Long,CSE,No,5.86
100748,Jennifer Green,CSE,No,5.54
100749,Jennifer Turner,AD,No,5.02
100750,Joshua Obrien,CSE,Yes,5.9
100751,Anthony Brown,FT,Yes,6.12
100752,Jason Williams,CSE,No,5.47
100753,Scott Mills,EEE,No,9.08
100754,Kristina Wright,FT,No,9.59
100755,Maria Lee,CSE,No,7.08
100756,Lawrence Ramsey,AD,Yes,7.06
100757,Cory Kennedy,CIVIL,Yes,6.35
100758,Matthew Vargas,EEE,Yes,5.62
100759,Jennifer Weaver,MECH,No,7.54
100760,Alisha Greer,EEE,Yes,9.38
100761,Shelly Gardner,AD,No,8.23
100762,Kaitlyn Garcia,CSE,No,8.75
100763,Jamie Sanchez,FT,Yes,6.29
100764,Brittany Smith,EEE,No,5.61
100765,Nicholas Liu,ECE,Yes,9.23
100766,Joseph Rice,AD,No,7.54
100767,Antonio Powell,ECE,Yes,6.38
100768,Brenda Melendez,AD,Yes,5.19
100769,Noah Gray,FT,Yes,9.99
100770,Alexis Watson,FT,No,9.44
100771,Jeffrey Robinson,MECH,Yes,8.6
100772,Hannah Figueroa,FT,Yes,9.62
100773,Mr. Jason Flores II,CIVIL,No,8.12
100774,Mary Hernandez,EEE,Yes,5.7
100775,Blake Moore,ECE,Yes,6.26
100776,Andrew Yang,FT,Yes,7.92
100777,William Payne,MECH,Yes,5.92
100778,Erin Brown,ECE,No,8.92
100779,Nicholas Diaz,EEE,No,7.58
100780,Christopher Thompson,CIVIL,Yes,7.47
100781,Kelly Davis,FT,No,5.39
100782,Jonathan Kennedy,FT,Yes,8.85
100783,Keith Schmidt,EEE,No,6.82
100784,Tammy Saunders,CIVIL,No,8.97
100785,Thomas Cruz,FT,No,7.7
100786,Cathy Parrish,MECH,Yes,7.24
100787,Teresa Jones,AD,Yes,9.82
100788,Eric Stephens,MECH,Yes,9.05
100789,Heather Beard,ECE,Yes,6.13
100790,Glenn Fernandez,FT,No,9.12
100791,George Johnson,CIVIL,Yes,5.4
100792,Caitlin Marshall,CSE,Yes,5.09
100793,Michael Williams,AD,No,5.73
100794,Jaime Benton,CIVIL,No,7.03
100795,Paula Hardin,CSE,No,7.02
100796,Pamela Carpenter,ECE,Yes,9.51
100797,Aaron Brown,FT,Yes,8.96
100798,Paul Castaneda,MECH,No,6.0
100799,Yolanda Boyd,ECE,Yes,6.03
100800,Brian Cook,EEE,No,8.15
100801,Angie Collins,ECE,Yes,9.57
100802,Erica Alvarez,AD,Yes,7.91
100803,Shawn Boone,AD,Yes,5.11
100804,Ellen Gonzales,MECH,No,9.9
100805,Willie Garcia,CSE,Yes,8.34
100806,David Bryan,CSE,Yes,7.58
100807,Marissa Jones,CIVIL,No,9.07
100808,Katelyn Davis,AD,No,9.34
100809,Darren Harris PhD,FT,No,5.16
100810,Paul Parker,MECH,No,8.03
100811,Jeremy Bowman,CIVIL,Yes,8.64
100812,Kiara Landry,MECH,Yes,9.92
100813,Linda Thomas,FT,No,7.36
100814,Heather Alvarez,ECE,Yes,7.24
100815,Brian Hill,AD,No,6.11
100816,Lori Henry,FT,No,8.67
100817,John Gray,MECH,No,6.53
100818,Carlos Cruz,FT,No,9.09
100819,Margaret Burke,ECE,No,5.1
100820,Edward Martin,MECH,No,8.27
100821,Ryan Buckley,AD,No,9.02
100822,Jay Jackson,CSE,Yes,6.38
100823,Alyssa Anderson,EEE,Yes,8.18
100824,Alexandria Guerra,CSE,No,6.5
100825,Dylan Davis,MECH,Yes,7.51
100826,Anthony Cantu,ECE,No,9.57
100827,Raven Harper,CSE,No,7.79
100828,David Harper,CSE,No,6.44
100829,Robert Kennedy,EEE,Yes,5.98
100830,Joseph Singleton,MECH,Yes,7.95
100831,Kathleen Blair PhD,CIVIL,Yes,9.28
100832,Adam Villa,CIVIL,Yes,7.92
100833,Lisa Ray,CIVIL,No,7.7
100834,Philip Cruz,CIVIL,Yes,6.68
100835,Brent Cohen,FT,Yes,8.78
100836,Keith Duncan,AD,Yes,9.7
100837,Luis Gardner,AD,No,9.24
100838,Damon Garcia,EEE,Yes,7.49
100839,Dennis Rich,EEE,Yes,8.84
100840,Jean Stewart,EEE,No,6.54
100841,Jeremy Burke,FT,No,9.41
100842,Jimmy Arroyo,AD,Yes,6.4
100843,Jennifer Williams,FT,No,5.92
100844,Christopher Branch,CSE,No,9.54
100845,Anna Wade,CIVIL,No,8.97
100846,Sherry Powell,CSE,Yes,9.01
100847,Joseph Gibson DDS,FT,Yes,6.67
100848,Tyler Garrison,AD,Yes,5.91
100849,Randy White,MECH,No,5.23
100850,Elizabeth Lee,MECH,Yes,7.45
100851,Lynn Bean,EEE,Yes,6.57
100852,Scott Fisher,CSE,No,5.42
100853,Elizabeth Thompson,AD,Yes,6.84
100854,Travis Ray,AD,Yes,9.64
100855,Amanda Ward,AD,No,6.83
100856,Scott Turner,ECE,Yes,9.02
100857,Tina Williams,AD,No,6.59
100858,Caleb Wallace,CSE,No,8.61
100859,Hannah Garrett,CSE,No,5.35
100860,Tammy Holmes,MECH,No,8.65
100861,Ryan Flores,CSE,Yes,7.83
100862,Anita Mckee,MECH,No,8.48
100863,Matthew Gamble,ECE,Yes,5.96
100864,Nicole Scott,CIVIL,No,6.82
100865,Amy Simpson,AD,No,8.8
100866,Cynthia Trevino,EEE,No,9.41
100867,Stephanie Lowe,AD,No,8.37
100868,Bruce Hill MD,FT,No,9.13
100869,Tammy Shaffer,AD,No,5.98
100870,Catherine Bryant,CSE,Yes,5.56
100871,Charles Jones,AD,Yes,5.86
100872,Joseph Chen,CSE,No,7.51
100873,Thomas Knapp,ECE,No,5.87
100874,Tiffany Wagner,CIVIL,Yes,9.95
100875,Warren Acosta,AD,Yes,7.49
100876,John Black,FT,Yes,6.92
100877,Christopher King,CIVIL,No,7.91
100878,Sara Beck,CIVIL,No,8.5
100879,Chris Powell,AD,No,7.93
100880,Matthew Stokes Jr.,EEE,Yes,9.49
100881,Sandra Long DDS,CSE,Yes,5.25
100882,Kevin Morrison,MECH,Yes,8.03
100883,Erica Lewis,AD,No,9.57
100884,Rachel Benson,AD,Yes,9.28
100885,Amanda Price,EEE,Yes,6.54
100886,Haley Doyle,AD,Yes,8.28
100887,Brooke Hughes,AD,Yes,8.01
100888,Valerie Watkins,CIVIL,No,5.24
100889,Frank Solis,EEE,Yes,9.26
100890,Ryan Thompson,FT,Yes,5.98
100891,Stephanie Stone,FT,No,8.95
100892,Kristi Weeks,MECH,No,9.11
100893,Carlos Holt,MECH,Yes,8.54
100894,Eric Davis,CIVIL,Yes,7.31
100895,Jill Larsen,CSE,No,8.76
100896,Jonathan Werner,CSE,Yes,8.13
100897,Kyle Perez,EEE,Yes,7.6
100898,Melissa Ferguson,CIVIL,Yes,6.19
100899,Jennifer Gardner,FT,No,8.23
100900,Joseph Nixon,CIVIL,Yes,8.16
100901,Christopher Thornton,CSE,Yes,5.17
100902,William Munoz,CIVIL,No,9.03
100903,Joseph Hall,FT,Yes,6.13
100904,Matthew Turner,MECH,No,8.47
100905,Amanda Valdez,CIVIL,No,7.48
100906,George Barry,EEE,Yes,5.2
100907,Christine Livingston,FT,No,7.5
100908,Matthew Gates,CIVIL,Yes,5.14
100909,Stephanie Barrera,MECH,No,7.67
100910,Allison Case,MECH,Yes,9.95
100911,Mr. Christopher Shannon,ECE,Yes,6.14
100912,Jaime Mendez,CIVIL,Yes,5.9
100913,Sabrina Hendrix DDS,AD,No,6.98
100914,Elizabeth Gay,CIVIL,No,7.61
100915,Lauren Greene,FT,No,8.68
100916,Edward Woodard,MECH,No,5.27
100917,Jose Foster,ECE,Yes,7.18
100918,Alexander Delgado,CIVIL,No,8.42
100919,Raymond Rodriguez,MECH,No,7.64
100920,Michelle Campbell,CSE,No,9.52
100921,Laura Garcia,CIVIL,No,7.38
100922,Dr. Anthony Hughes,CIVIL,Yes,9.78
100923,Thomas Gordon,EEE,No,8.16
100924,Miss Courtney Bradley DDS,EEE,No,9.83
100925,Henry Ramirez,EEE,No,7.79
100926,Sabrina Gutierrez,FT,No,8.32
100927,Melissa Alexander,EEE,Yes,9.92
100928,Ashley Elliott,AD,No,5.93
100929,Cassidy Spence,FT,Yes,6.17
100930,Larry Allen DDS,ECE,No,8.79
100931,Felicia Lozano,CSE,No,9.37
100932,Joshua Hobbs,CSE,Yes,9.59
100933,Dawn Gonzales,EEE,Yes,9.82
100934,Mrs. Erica Davis,CSE,Yes,9.63
100935,James Hicks,ECE,No,9.63
100936,Robert Wolfe,EEE,Yes,6.14
100937,Renee Smith,AD,Yes,9.88
100938,Garrett Williams,AD,No,5.16
100939,Larry Todd,MECH,Yes,7.92
100940,Danielle Santiago,AD,Yes,9.2
100941,Megan Williams,MECH,No,6.93
100942,Jeffrey Gallagher,CSE,No,8.06
100943,John Ryan,ECE,No,6.47
100944,Stephanie Farrell,ECE,No,6.39
100945,Henry Brooks,FT,Yes,8.63
100946,Kevin Hill,EEE,Yes,8.81
100947,Justin Jones,CIVIL,No,7.79
100948,Jean Ramos,MECH,Yes,9.72
100949,Mark Martinez,AD,No,6.89
100950,Vincent Rivers,FT,Yes,5.25
100951,Danielle Rogers,CIVIL,No,9.56
100952,Scott Rodriguez,ECE,Yes,6.35
100953,Jason Clark,MECH,No,7.58
100954,Emily Crawford DDS,CSE,No,6.87
100955,Tonya Gonzales,CIVIL,Yes,8.61
100956,Caroline Bryan,CSE,No,8.41
100957,Tanya Cameron,AD,Yes,7.77
100958,Christie Roberts,EEE,Yes,6.01
100959,Amy Nguyen,AD,Yes,5.53
100960,Jon Smith,EEE,Yes,8.57
100961,Robert Tate,FT,No,5.9
100962,Brett Esparza,FT,Yes,8.83
100963,Suzanne Brown,CSE,Yes,5.89
100964,Tracy Cox,ECE,Yes,9.54
100965,Patricia Owen,MECH,Yes,5.7
100966,Keith Lyons,AD,No,7.99
100967,Donald Cook,EEE,No,9.32
100968,Tyler Beck,FT,Yes,5.44
100969,Karen Stephenson,FT,No,6.45
100970,Teresa Baker,FT,Yes,9.51
100971,Justin Murphy,ECE,Yes,9.9
100972,Brandon Malone,FT,Yes,5.33
100973,Antonio Gutierrez,CSE,No,9.19
100974,Kristen Chang,FT,Yes,6.79
100975,William Wood,FT,Yes,7.76
100976,Michelle King,CIVIL,No,9.97
100977,Jamie Vega,AD,Yes,8.62
100978,Elizabeth Hanson,MECH,No,7.1
100979,Kevin Sullivan,ECE,No,9.98
100980,Diane Webster,EEE,No,5.29
100981,Sharon Aguirre,CIVIL,No,5.74
100982,Jeffrey Gonzales,CSE,Yes,6.25
100983,Debra Martinez,EEE,Yes,5.76
100984,James Ramirez,FT,No,5.59
100985,Erik Evans,ECE,No,9.71
100986,Vincent Brown,ECE,Yes,7.23
100987,Javier Ortiz,EEE,No,9.8
100988,Cassandra Dennis,CIVIL,No,5.9
100989,Amy Evans,CSE,Yes,8.14
100990,Grace Lyons,AD,Yes,5.8
100991,Anthony Ali,MECH,No,7.96
100992,Levi Pham,AD,No,8.47
100993,Travis Smith,ECE,Yes,9.73
100994,Karen Gutierrez,AD,Yes,6.38
100995,Shannon Ingram,ECE,No,8.04
100996,Richard Watkins,AD,Yes,7.47
100997,Dr. Wesley Garcia,MECH,Yes,7.79
100998,Robert Young,CIVIL,No,6.83
100999,Colton Chavez,CIVIL,No,6.73
101000,Jason Rodriguez,EEE,Yes,7.51
101001,James Roman,CSE,Yes,8.48
101002,William Owens,EEE,No,6.37
101003,Jeffrey Love,CSE,Yes,8.19
101004,Samantha Allen,EEE,Yes,6.46
101005,Derek Smith,CSE,No,9.05
101006,Lauren Gillespie,ECE,Yes,9.31
101007,Shannon Haynes,AD,No,7.59
101008,Christine Rodriguez,AD,Yes,9.51
101009,Sherry Taylor,FT,Yes,7.05
101010,Sherry Johnson,EEE,Yes,5.64
101011,Pam Fields,AD,No,6.76
101012,Meghan Gardner,AD,No,8.26
101013,Christopher Baker,AD,Yes,8.32
101014,Laura Murray,CSE,No,6.71
101015,Sarah Dominguez DVM,ECE,Yes,9.97
101016,Rebecca Phillips,CSE,No,8.25
101017,Tasha Dawson,FT,Yes,9.4
101018,Brandon Dean,FT,No,9.0
101019,Jane Lopez,FT,Yes,5.1
101020,Ashley Phillips,ECE,Yes,9.59
101021,Keith Tran PhD,MECH,No,7.44
101022,Brian Graves,EEE,No,8.18
101023,Christopher Vega,ECE,Yes,8.59
101024,Sue Lyons,EEE,No,6.29
101025,Stephanie Hall,ECE,No,5.78
101026,Christopher Roberson,EEE,Yes,7.89
101027,Shirley Campos,CSE,Yes,9.47
101028,Tammy Williams,EEE,No,6.38
101029,Jerry Sanders,ECE,Yes,9.5
101030,Michael Stanley,AD,No,8.39
101031,Annette Tucker,AD,No,5.45
101032,Christopher Robinson,CIVIL,Yes,6.96
101033,Michelle Wise,ECE,No,9.53
101034,Michelle Morgan,AD,Yes,9.47
101035,Angela Nunez,AD,No,8.38
101036,Brooke Walker,MECH,Yes,6.24
101037,Vincent Stephens,FT,No,8.16
101038,Derek Santiago,CIVIL,Yes,8.48
101039,Melanie Mcgee,ECE,No,6.55
101040,Ronald Davis,MECH,Yes,6.73
101041,Nicholas Goodman,CSE,No,8.74
101042,Natalie Ramos,CIVIL,No,9.11
101043,Antonio Copeland,CIVIL,No,9.22
101044,Christopher Evans,MECH,No,7.95
101045,Daniel Lin,MECH,Yes,8.66
101046,Heidi Lambert,CSE,No,8.83
101047,Jessica Lucas,CSE,No,6.94
101048,Patricia Shaw,MECH,No,8.94
101049,Megan Love,AD,No,7.63
101050,Joseph Brown,EEE,Yes,7.01
101051,Darrell Strickland,FT,No,7.92
101052,Tiffany Garcia,EEE,Yes,8.51
101053,Daniel Medina,CIVIL,No,8.46
101054,Timothy Gonzalez,AD,No,9.48
101055,Angela Ball,EEE,No,5.91
101056,Cody Cantrell,MECH,No,6.98
101057,Jamie Harris,EEE,Yes,5.78
101058,Lawrence Floyd,CSE,No,8.14
101059,Jeremy Wolf,AD,Yes,5.23
101060,Juan Benton,ECE,No,8.09
101061,Larry Fields,CIVIL,No,9.62
101062,Joseph Perez,ECE,No,9.34
101063,Pamela Clark,EEE,Yes,8.7
101064,Bryan Lam DDS,FT,No,9.31
101065,Theresa Garrett,CIVIL,Yes,8.76
101066,Timothy Griffin,MECH,No,9.97
101067,Brent Medina,ECE,No,5.88
101068,Dillon Ryan,CSE,Yes,8.84
101069,Daniel Spears,CSE,Yes,7.08
101070,Brian Adkins,CSE,No,7.65
101071,John Tate,FT,Yes,9.62
101072,Shelby Reese,FT,No,7.5
101073,Sabrina Anderson,EEE,Yes,8.98
101074,Mario Monroe,CSE,Yes,5.96
101075,Megan Davis,CSE,No,5.67
101076,Cassidy Rodriguez,AD,No,9.29
101077,Daniel Dominguez,CSE,No,7.88
101078,Melissa Lewis,FT,No,7.07
101079,Timothy Williams,MECH,No,9.93
101080,Blake Lee,FT,Yes,5.07
101081,Vanessa Mosley,CSE,No,9.93
101082,Abigail Branch,ECE,No,8.9
101083,Ashley Bolton,CSE,No,8.12
101084,Robert Evans,AD,No,9.95
101085,Jeffrey Bailey,FT,Yes,9.81
101086,Patty Gross,CIVIL,Yes,8.07
101087,Alexandra Johnson,MECH,No,5.03
101088,Jeremy Norris,CSE,Yes,8.7
101089,Jacob Strong,FT,No,6.63
101090,Krista Parker,FT,Yes,9.91
101091,Kelli Chapman,CIVIL,No,7.85
101092,William Gonzalez,CSE,No,9.73
101093,Carla Morgan,CIVIL,No,8.07
101094,Nancy Coleman,MECH,No,8.93
101095,Cheryl Costa,MECH,Yes,7.3
101096,Sandra Martin,MECH,No,5.21
101097,Whitney Dixon,FT,No,9.85
101098,Rita Hobbs,CSE,Yes,7.41
101099,Lori Duffy,ECE,Yes,6.16
101100,Nancy Nguyen,CIVIL,Yes,8.71
101101,Kevin Dickson,EEE,No,5.48
101102,Zachary Obrien,AD,Yes,8.49
101103,Peter Martin,MECH,Yes,5.72
101104,Christopher Francis,CIVIL,No,6.0
101105,Wanda Jones,AD,Yes,5.95
101106,Terry Edwards,FT,Yes,5.23
101107,Patricia Wilson,ECE,No,9.84
101108,Angel Duran,ECE,Yes,7.89
101109,Michael Benson,MECH,No,7.53
101110,Danielle Flores,ECE,No,7.85
101111,Jason Welch,EEE,No,5.96
101112,Cheryl Garcia,CIVIL,No,7.61
101113,Joseph Gutierrez,ECE,Yes,9.16
101114,Sandra Weber,FT,Yes,5.92
101115,Benjamin Martin,ECE,Yes,7.0
101116,Samantha Perez,FT,No,6.14
101117,William Miller,EEE,No,7.93
101118,Samantha Hickman,FT,No,7.09
101119,Catherine Hayes,EEE,Yes,8.49
101120,Johnny Nichols,AD,Yes,7.35
101121,Heather Wiggins,MECH,Yes,6.09
101122,Nicholas Montgomery,ECE,No,7.94
101123,Diane Campbell,AD,Yes,7.94
101124,Sarah Haney,EEE,Yes,5.99
101125,Brian Bates,AD,Yes,6.0
101126,Candace Bradley,AD,No,8.06
101127,Jason Jackson,AD,Yes,6.7
101128,Regina Scott,AD,No,5.68
101129,Thomas Park,MECH,Yes,9.28
101130,Stephanie Matthews,CSE,No,9.69
101131,Vanessa Miller,AD,Yes,9.03
101132,Alexandria Johnson,FT,Yes,5.74
101133,Stacy Kelly,AD,Yes,6.02
101134,James Barrett,EEE,Yes,9.12
101135,Eric Carter,CSE,No,9.51
101136,Joseph Williams,ECE,No,7.63
101137,Malik Bishop,ECE,Yes,5.8
101138,Rachel Martinez,CIVIL,No,6.22
101139,Diane Bolton,EEE,No,7.27
101140,John Hernandez,AD,No,7.96
101141,Katie Ballard,FT,Yes,7.16
101142,Tammy Bean,CIVIL,Yes,5.29
101143,Scott Parker,MECH,No,9.8
101144,Stephanie Johnson,ECE,No,9.29
101145,Joshua Joseph,CIVIL,No,9.14
101146,Jennifer Fleming,ECE,No,7.06
101147,Paul Burnett,CIVIL,No,5.7
101148,Ashley Rush,FT,Yes,9.57
101149,Peter Sanchez,ECE,No,5.7
101150,Michelle Singh,CSE,No,9.0
101151,Jeffrey Jackson,FT,Yes,8.32
101152,Erin Yang,ECE,Yes,9.27
101153,Andrew Jones,FT,No,9.34
101154,Dawn Williams,MECH,Yes,6.92
101155,Tammie Ford,CSE,No,8.3
101156,Thomas Ellis,FT,No,8.5
101157,Ryan Harris,ECE,No,8.79
101158,Harry Rubio,FT,Yes,6.43
101159,Jonathan Flores,FT,Yes,8.14
101160,Randy Wright,ECE,Yes,7.01
101161,Nichole Mendoza,FT,Yes,9.98
101162,Cristian Sullivan,ECE,No,9.07
101163,Justin Schmidt,FT,Yes,5.3
101164,Angel Smith,FT,No,7.89
101165,Angela Kemp,CIVIL,No,7.07
101166,Christina Martinez,CIVIL,Yes,9.24
101167,Michelle Prince,EEE,No,8.43
101168,Christopher Peterson,CIVIL,No,9.62
101169,Tonya Nelson,AD,No,7.04
101170,Madeline Andersen,CIVIL,Yes,7.49
101171,Mary Williams,AD,Yes,8.75
101172,Lee Rich,FT,No,8.54
101173,Anthony Tanner,CIVIL,No,5.17
101174,Carl Ortiz,ECE,No,9.6
101175,Kelli Johnson,ECE,Yes,7.79
101176,Christina Pham,CSE,No,8.92
101177,Danny Gilmore,MECH,No,9.04
101178,Holly Cruz,CSE,No,7.81
101179,Carol Hammond,AD,Yes,8.63
101180,Mary Valentine,AD,Yes,7.67
101181,Crystal Martin,CIVIL,No,5.26
101182,Jessica Long,CIVIL,Yes,5.64
101183,Veronica Lewis,AD,Yes,9.25
101184,Taylor Black,ECE,No,6.24
101185,Timothy Chung,AD,Yes,9.37
101186,Raymond Miller,CSE,Yes,7.31
101187,Benjamin Stevenson,AD,Yes,7.77
101188,Timothy Harris,CSE,Yes,7.71
101189,Mr. Cory Burgess,CSE,No,8.57
101190,Michelle Baldwin,MECH,Yes,6.35
101191,Michael Lewis,CSE,No,8.98
101192,Sydney Morrison,CIVIL,Yes,6.1
101193,Stacy Rice,CSE,No,7.57
101194,Samuel Marquez,CSE,No,8.9
101195,Richard Davies,EEE,No,7.74
101196,Michael Young,CSE,No,8.37
101197,Stacy Delgado,MECH,No,9.48
101198,David Wright,MECH,Yes,6.04
101199,Nicholas Taylor,FT,Yes,8.25
101200,Jessica Alvarado,FT,Yes,8.73
101201,Cheryl Webb,ECE,No,9.85
101202,Melanie Kelly,CSE,Yes,9.5
101203,Maria Howard,MECH,Yes,6.88
101204,Russell Moore,ECE,No,5.08
101205,Teresa Mckay,FT,Yes,8.71
101206,Angela Lin,AD,No,9.21
101207,Kelly Johnson,ECE,No,7.39
101208,Tracy Morales,AD,Yes,6.97
101209,Krystal Campbell,ECE,No,5.13
101210,Debra Zamora,AD,Yes,7.91
101211,Karla Turner,CSE,No,7.0
101212,John Medina,FT,No,9.72
101213,Stephanie Flynn,ECE,Yes,5.55
101214,Richard Shaw,AD,No,7.33
101215,Lisa Conner,AD,No,7.67
101216,Steven Moore,FT,Yes,8.69
101217,Albert Howard,ECE,No,7.27
101218,Dawn Perez,MECH,No,9.65
101219,Christina Obrien,CIVIL,No,6.02
101220,Stephen Zhang,CSE,Yes,6.63
101221,Nicolas Dennis,CSE,Yes,6.26
101222,Sherry Wilson,CSE,No,8.69
101223,Jacob Allen,CIVIL,No,7.44
101224,Beverly Norman,EEE,No,5.08
101225,Arthur Higgins,EEE,Yes,7.09
101226,Erik Black MD,MECH,Yes,7.0
101227,Keith Huang,ECE,No,9.26
101228,Megan Nguyen,MECH,Yes,6.87
101229,Erin Young,EEE,No,8.64
101230,Jason Benton,FT,Yes,7.52
101231,Mr. Joshua Boyer Jr.,CSE,Yes,9.76
101232,Karl Johnson,ECE,Yes,8.23
101233,Catherine Gordon PhD,CIVIL,No,6.52
101234,Corey Murray,CSE,Yes,8.89
101235,Summer Hebert,EEE,No,6.48
101236,Shannon Huang,EEE,No,5.52
101237,Amy Mccoy,FT,No,7.79
101238,Breanna Hess,CIVIL,Yes,9.96
101239,Megan Kelly,FT,No,8.23
101240,Eric Maldonado,EEE,Yes,5.33
101241,Melissa Reed,CIVIL,No,6.46
101242,Meagan Patton,CSE,No,5.38
101243,Christopher Robinson,FT,Yes,8.92
101244,Christine Marshall,EEE,Yes,5.73
